environment,local SQLite demo benchmark
dataset_rows,1000
runs,100
nfr_target_ms,3000
average_ms,1.203
p95_ms,1.388

run,elapsed_ms,result_count
1,1.509,250
2,1.422,250
3,1.277,250
4,1.154,250
5,1.291,250
6,1.293,250
7,1.314,250
8,1.229,250
9,1.219,250
10,1.134,250
11,1.242,250
12,1.264,250
13,1.274,250
14,1.170,250
15,1.161,250
16,1.241,250
17,1.246,250
18,1.255,250
19,1.213,250
20,1.238,250
21,1.137,250
22,1.199,250
23,1.182,250
24,1.153,250
25,1.133,250
26,1.141,250
27,1.093,250
28,1.203,250
29,1.283,250
30,1.223,250
31,1.139,250
32,1.143,250
33,1.145,250
34,1.165,250
35,1.147,250
36,1.190,250
37,1.121,250
38,1.129,250
39,1.118,250
40,1.168,250
41,1.154,250
42,1.094,250
43,1.123,250
44,1.159,250
45,1.101,250
46,1.216,250
47,1.192,250
48,1.150,250
49,1.103,250
50,1.123,250
51,1.108,250
52,1.184,250
53,1.279,250
54,1.132,250
55,1.133,250
56,1.107,250
57,1.170,250
58,1.229,250
59,1.276,250
60,1.143,250
61,1.119,250
62,1.080,250
63,1.107,250
64,1.159,250
65,1.200,250
66,1.105,250
67,1.154,250
68,1.091,250
69,1.098,250
70,1.203,250
71,1.215,250
72,1.352,250
73,1.149,250
74,1.185,250
75,1.158,250
76,1.210,250
77,1.238,250
78,1.299,250
79,1.196,250
80,1.142,250
81,1.180,250
82,1.413,250
83,1.306,250
84,1.239,250
85,1.217,250
86,1.288,250
87,1.411,250
88,1.230,250
89,1.206,250
90,1.197,250
91,1.251,250
92,1.202,250
93,1.336,250
94,1.197,250
95,1.177,250
96,1.142,250
97,1.186,250
98,1.459,250
99,1.388,250
100,1.312,250
